text,sentiment
ohsummer beginsyay  the fighting crying and stress has started with the kidsits only been 3 hrs since they got out,negative
i feel so deflated no more doggy,negative
 sad about young love coming to an end  they were sooo cute together,neutral
 omg really  i sowwy ill do it again p i was tired when i did that this morning p lol,negative
owww back pain  hm walmart or no i could get cupcakes,negative
 i cant believe that you guys are gonna stay just one day here in rio de janeiro again,neutral
making my boyfriend look different  hes  cute no matter what 3,positive
 lol thx,positive
is working until 11 tonight  httpplurkcompx2kbv,neutral
 well there go my peace corps prospects,positive
rmbr the time when we torned for the night in sentosa i was the only one who didnt have to spit out the  3 unknown facts abt myself,neutral
 good idea ill have to remove all the old receipts tissue paper and other nonsense before i can take a pic,positive
whatever will be will be,neutral
wango tango good night all,neutral
 im not in the best financial situation myself at the moment im beyond broke my money is spend as soon as i earn it atm,negative
 hello you  you should totally go to the biggest shopping center in europe and we can go shopping together   ,neutral
fixing openbox theme a little,neutral
selling my laptop for cheap if anyones interested  17 toshiba 13gig ram,neutral
if recent experience is anything to go by i fear i might be going off indian food this is not good people not good,negative
 i wish i wasnt all  bummed but i kinda am,positive
 hey mitchel when will you be live again i didnt get a chance to call you,negative
looking at the sunshine out of my office window,neutral
back is sore should not have done that jump last night,negative
 we are working,neutral
brides a la mode pow wow first thing this morning   this past weekends lovely wedding fresh in my mind pics soon,positive
just got my paycheck april bonus can b deposited 2day the rest gotta wait til mon,neutral
nope no way in to stop  just have to put up wiv it,neutral
i recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad  trust me,neutral
 not so much a substitute as a variation ate too much too oof,neutral
such beautiful weather why are u sick baby    tanapolis,positive
 oui mademoiselle you can barely turn around these days without bumping into one,neutral
flickr pics chester zoo danwtmoon posted a photo   welcome to chester zoo by jockey  httptinyurlcomcq7qw8,neutral
woke up and watched jon and kate plus eight i tried to pretend like they were still a normail family,neutral
 youre a freak,neutral
 i dont even know now lenaaa  when you going clothes show,neutral
_jane yay buti nagustuhan nyo isang bar lang enclosed ko sa mail  to test if matutunaw or hindi next time uli,neutral
memories,neutral
 yep nothing to worry about,positive
back to work tomorrow  whose idea was it to go back on a saturday oh wait that would be mine fail,negative
 going to start very small like 010 or 050  then slowly to higher stakes,neutral
 make a videoblog,neutral
reading evermore by lynn viehl,neutral
wow what a storm we just had now no power,positive
getting my phone back this week  yeeeewww,positive
back from school  daily show was amazing  gonna watch it again later i think xd,positive
_breez yer please do have a good day,positive
musicmonday epic song y   lights and sounds by yellowcard  httptinyurlcomdb7ppm,neutral
 hot cuppa coffee made with milk  fortified with monins irish coffee syrup bliss,positive
right im out of here peeps i hope  fixes twitter mobile so i can tweet from the race mtwitter has been down for 4 days  fail,positive
my anticipated meet up with tapan parikh is no more  apparently he wont pass by nairobi and will head straight from mombasa,neutral
watching army wives and it always makes me cry,negative
productive day 1,positive
rest in peace  adam 12  glenn epps gone but never forgotten what a week loud in da air 4 ya,neutral
 gotta love the summer,positive
marking going ok so far as and bs so far  relieved it looks like i have future programmers in class,neutral
 alas no its just a normal night  monday is quiz night,neutral
did anyone go photographing today i managed to get a few macro shots of some flowers that were blooming,neutral
_buckley good morning from sunny londonsounds like an oxymoron but happens to be true of today  hurrah,positive
 cool thatd be fantastic,positive
live on stickamcomitstyleryo come chat,neutral
   but  is right this is like the cape breton coal mines but  no lessons learned,neutral
 yes but im quite rusty  im hoping to get back to it and tune up my skills  tim plays guitar  we threaten duets,negative
hey everybody  hah this day is cool just got back from walk with the dog  omgosh send me the link again please,positive
 srry im not so interesting right now stayed up til 6am cause my tummy hurt and now im pooped and have to work,negative
 me because i might not have enough money for college,negative
lol woow okay its not that big of a deal,neutral
i love how when i leave my laptop on my bed it creates a nice toasty spot,positive
 i mean someone hit a dog with a car it was just laying there,neutral
 does it start tomorrow  i was going to book sam on that and forgot,negative
 salt and vinegar cheese and onion make your breathe smell lol  ,negative
 youre welcome there  i added you already,positive
_rose mornin   missed dance time so i guess i will have to dance extra hard tomorrow,neutral
 sorry to hear about your dude probs what is it thats too much,negative
discovered that numpy arrays can hold values of any type  useful for manipulating arrays of numbers with uncertainties,negative
maybe i should take up drinking again feel as if i have a massive hangover  still not yself today,negative
just downloaded the tweet decklook at my and my saviness,neutral
today friday i really hope you will read my messages here and reply to me soon i could not reach you by phone before you go to work,positive
 whatever i know you like it  hahahhah,positive
oh no my fun weekend with friends is gone my mother has made a family weekend of it  ,negative
good morning twitterland happy monday,positive
writing reports,neutral
thanks timmy  turns out he has strep and a high fever,positive
 oh that is very nice i will do something nice next week  going to madrid next weekend for few days,positive
keeping it chilled,positive
what a beautiful day not to got to my first class,positive
 fabulous and i didnt get that pic  gmail be acting the fool sometimes can u dm me it,positive
 yeah its terrible  cockatoos are the hardest to live with so emotional good thing he found you though,neutral
_ that sucks,negative
 yes it does,positive
_datti thanks sankar for ur wishes,positive
i love waking up and thinking its a weekday but then realizing its the weekend,positive
 sorry bout the cat,negative
 youre the only person to have joined in  penilewords,neutral
up and washed  im clothing myself as i type xd woooo,positive
 miss u too im still at a clubu knowwest coast ,negative
 love love love pot psycology my friday night treat,positive
happy star wars day  may the fourth be with you,positive
 playing with lighters fire matches and grass,neutral
_art that would be the one  its awesome sauce,positive
bucky my ferret officially has insulinoma  now on daily prednisone had interview with pdoc today have to go back monday for testing,neutral
 ive never been to prague but if i had the money itll be in the 10 first cities i visit,positive
coffee time,neutral
 he was creepy for me at first but i did really grow to like him i cried like a baby when he and tosh died,neutral
_ really that son of a  screw him ill talk to on msn later k  xox,negative
 we didntbut we did have to wait a good twenty minutes for one  good night though,positive
 i always hope they will die out but then i see the the old ones and it makes me sad,negative
 thanks alen it seems that we can only submit community news is this an error or must we prove ourselves,neutral
 dont follow me you will ruin my twitter experience,negative
blah to car repairs almost 600 dollars   shopping around for a better deal,negative
weetabix and choco milk  yum,positive
 me too,neutral
im sad to have lost another person close to me to cancer,negative
_me thanks kinda bittersweet though,neutral
_nutbar good morning  how are you twittertakeover,positive
first time to twitter,neutral
captain jack is back,neutral
_la bens dreams make me so saddddddd  i want them to be togetherrr i swear if this  gets me bawlinggg so help me,negative
internet you were so fast and now you are so slow where did the fast connection go,neutral
 6 am  you,neutral
30 year old barbie dolls still can rock itthat girl was hot  and ken aint so bad either  now those are memories,negative
this weather makes my fingers numb  still waiting,negative
 lol yeah ima mama  thanks happy mamas day and lakers day i love it,positive
doneits summer,neutral
 i was just at genos 3hrs ago  would have went to pats but the neon lights got me lol  had drinks at south philly bar too,neutral
httpyfrogcom0xoxij fry bread is good but they only gave me a little pinch of lettuce  ha ha,positive
 its wow effect  thanks for the update,positive
got up at 8 today and also misses his friend ,negative
catching up on my reading twitter n bf break,neutral
 no thats not right  i remember now  you were in a fearless tweet  we were both seen as fearless,neutral
  my thoughts dwell on a certain person,neutral
transition time is over tonight i work night shift i woke up at 1330,neutral
gonna go to work with my honey today so exciting,positive
_ aww thats too bad you lost it though,negative
 this my new more private acc will only use it for close twitter friends,neutral
i hate going online and looking at the balance in the bank  its always a lot lower than i need it to be,negative
 actually the web works fine tweetdeck seems to be the culprit  sadness its done this at two diff locations,neutral
_x how did your geo isu go i swear i just had the worse day ever,negative
and you could have it all my empire of dirt im in ae with dad im freezing fully shivering every1 else is warm  no fones allowed ffs,negative
 tell me what you think of pride prejudice and zombies    if youre not all hyped up on sugar,neutral
_tdh can you install ruby gems and rails on keep please,neutral
out for ultimate training looking forward to the sunset,positive
going to work once again what a great few days off i had now its over  but atleast i get 2 more commin up wahooooooo,positive
 good to see you back sorry that happened to you,neutral
my 1st mothers day tomorrow,neutral
you said darling what happened did i fall asleep and you carry me home cuz i know i wasnt here goodnight twitterererers,positive
 i just about clear my whole office and no sign of it  next place is truck i have yet to fully clean under back seat lol,neutral
 its not gonna storm  because i said so,neutral
 i broke my ipod,negative
_banks something must be wrong only found 17 july harlsil books i wanted,negative
 haha and you should state pride is important,positive
 ugh did you just say your friend might have swine flu omg why,negative
 haha no problem its fun isn,positive
finally got to wash my hair i feel much better now but i gotta dry it  effffffort,positive
finally feel back into swing of things here at work after getting married last week sigh of relief for no more wedding planning,positive
 that sucks  booo,negative
hates untalented  being mean to my talented friends,neutral
looks like were rained out for weekend climbing,negative
is google maps not working for anyone else,neutral
 oh ,negative
 i dont really trust the judgements and vouches of _xo   jk ill think about becoming a friend of yours,negative
 jesus heals,positive
 its surprising how much billy idol turns up in tweets i monitor constantly  not that im obsessed or anything  billyidol,neutral
 werd thats very true,neutral
 your birthday well happy birthday,positive
without wings again,neutral
 did you tweet me i thought i remembered seeing one but i cant see it now so glad teatree is ok,positive
night twitterland x i have to be up in five hours  sigh,neutral
 happy birthday in 2 hours and 54 minuets  haha,positive
lunch breaks over going back to work,neutral
glad to see its a typical bank holiday weather wise  i was going to do so much today  yeah right,positive
 hayley williams is pretty much amazzing,positive
 the app said i need 1215 or later,neutral
 nothing,neutral
is in php website upgrade hell on a bank holiday hows that for planning,neutral
 not really having a good night missing my little girl,negative
  miss you captain,negative
im sending this to my mother  httpbitly1aa1rf,neutral
 oi are you mocking the fact i dont cry at tv things  feels badxxx,negative
 i am public and cant get anyone to follow me,neutral
 until  brings back our everyone button access pt  httptwittercompublic_timeline or link in bottom of settings,neutral
 boring who you been talking to lol not me   no ,neutral
  i know right i guess the oldest doesnt hold rank on field trips anymore,neutral
just signed upso hello twitter world here i am,neutral
 i wont be getting any rotf toys till much later  tell me if anybody isntis worth getting,neutral
 heading over to xbox  will go shopping 2morrow,neutral
 i saw that you were calling but cannot answer as im in the second hour of a phone convo with my mom and she wont stop talking,neutral
is excited  httpplurkcompstk04,positive
 hmmm really thats weird idk about that one  sowwy,negative
 oh that looks boring  and even more boring you have an exam on a saturday,negative
practice was a beast today not going to see julian tonight,neutral
getting somewhere with my first real kiokudb and catalyst app yay,neutral
 thanks though  am trying to be positive  wine may not be helping lol  wish i could make the gigs,positive
 i think my niece got me sickee  lame,negative
rise and shine  time to get prettifide,positive
 i tried sooooo hard to work from home today but failed  not my fault though,negative
 gosh ive a stinky old headache maybe i should have lunchfast,negative
glenna is bored but glad that it is a beautiful day macy went swimming and kris played golf while i sat at home waiting for them,neutral
bout 2 have 1 more drink then imma head in da house,neutral
i get so sucked in to true life and that steveo documentary was intense i love that  its nice to see people get their lives back,neutral
i love my life  ni night twitter3,positive
 we knew what what you meant,neutral
succesfully following tayla,positive
my new phrase is you never doubt mo williams   six game win streak,neutral
 have fun tomorrow night i think it will be more fun at a bar than art gallery wish i could be there,positive
 4th please not maybe shell get 3 attempts and win tomorrow,neutral
trying to learn to tweet  its all good i hope,positive
bleargh i can never clean as much of my house as i want to before work no matter how early i wake up today sink laundry,negative
great social network sites are still growing,positive
 if i got paid by the hour i could retire by now  do you have xbox live i am thinking rock band,neutral
i should learn not to walk all day and then sprint through sprinklers without stretching,neutral
 soi was half asleep when i wrote the previous message greatest friends haha  you are,positive
 im still trying to see star trek ill just have to woman up and go alone bf is pretty much worthless anyway  lol,neutral
  laws change in the 70s or 80s   i could really push it bcause gran from bathgate but she was us citizen b4 dad born,neutral
some of my new followers are pretty cool tweeps check em out,positive
no work today went shopping and now relaxing  learning for the toefl,positive
is off to watch arsenal v chelsea today,neutral
hes getting ear tubes in about an hour so no food,neutral
 yay asap lol awwh i miss our friday night happy hours even luna del sea and the boy hahahaha,negative
left the bases loaded,neutral
 cowboy westernshavent seen those in a while good luck,positive
 its already over ,negative
 i was trying to back all her documents up but it wasnt playing along its taking forever but am back at it again now,neutral
doing some test shooting later this afternoon  did i mention being in holland for an indie wine festival this week my tongue is red,neutral
my dad knows i got drunk today and i didnt get in trouble,positive
 so ill excuse your love for the cavs and the west even though i dont share it,neutral
 lol  i could try  seriously tho dont do all of it that sucks ,negative
  i wanna see the rest i only saw like 30 minutes,negative
happy mothers day mom  i love you,positive
burning cds  outa blank discs,positive
 new album is truly genius so happy with it,positive
 youre alive  go w the notebookitll make you cry and stuff,negative
 okaii cool  i cant wait for the series to begin its guna be awesome  x,positive
crying to a walk to remember as usual,negative
i only hav 8 followers                 ,neutral
happy star wars day everyone  off to celebrate with the family ok were not celebrating it but i am going round to the famos,positive
i also have a certain cd from camp that a certain somebody gave me  yeah theres this guy in the video thats really frickin hot,positive
its mothers day,neutral
yay for birthdays  sadly my voice is almost gone  but it was a pretty good night,neutral
we finally hit 1000 friends thanks,positive
 im part of a religion called peoplewithgoodtasteinmusic we dont celebrate jonas brothers day,neutral
im at workbored out of my mind,negative
watching the notebook,neutral
 yes because those taxes disguise the booking fees and commissions that online travel portals charge try ixigocom next time,neutral
twitters gettin a lil bit confusin twitterifictwitdroidtwitterberry i understant the txt bit tho lol  ah well twitters cool anyways,neutral
finally sleep time,neutral
 httptwitpiccom4l85a  best kind of gum ever i just bought a pack,positive
the heater blew up,negative
 i tried and failed,negative
  just finished mine some parts were remarkably difficult  cramming kanji now,negative
why is everyones tweets about britains got talent i feel left out,negative
yay mothers day  i love mi madre,positive
they wouldnt reverse any of my overdraft fees,negative
_n9ne im not having a good day,negative
i miss the soulja boy dance,negative
i woke up an came to the realization that i can put it off as much as i want but i need 2 drop some friends dammit,negative
11 days left until freedom i really just want to get through this weekend i hate essays,negative
  lol you guys are awesome,positive
home good night world,positive
 httptwitpiccom4vtlm  awww she is really cute,positive
got alot of runnin around to do today to get this job app completed so they can have it on file so glad i got this job,positive
lappy charger is completely dead conserving whats left of the battery until i can afford to buy a new one,negative
 well i must say she is very lucky to have you i guess that means no chillin and concert with me huh,neutral
happy mothers day all of the moms around the world  i love mine more than anything in the world and cant wait to celebrate woo,positive
i put a real pic of myself up im going to miss the avatar,negative
doing my folio work but keep on getting distracted by deb pics,negative
sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day,neutral
i cant sleep i cant find my grandmothers quilt or locket im sick at myself cause i may have lost them somehow or they were stolen,negative
had to take my bad  dog to the pet hotelso sad,negative
about to hit the sheets,neutral
i wish i had my ipod  i need some jonas  i miss their sexy voices  jb forever ,neutral
watching gilmore girls reruns dont know what else to do for the day,neutral
wow its hot and miserable people are probably killing themselves right about now,negative
 thanks mama  i absolutely adore her,positive
 ohh snapp have fun,neutral
sitting waiting for an exam to start,neutral
 i dont think ive ever tried peanut butter on toast,neutral
 i would but hes premiering avatar footage and cant do it then also we better hang out,positive
home from chelseas  jam sessions  3  chelsea  abby  i luh you,positive
well be visiting my grandparents later btw i just heard katy perrys hook up whew so cool i love it more than kclarksons version,positive
  very sweet haha i am like super proud to be a new mom i feel like i got the perfect daughter and i am a great mom,positive
gosh im bored its earlyn i wanna goto sleeeepp why am i at work  kay3,negative
 im sure shell be fine theyre not as daft as they look sometime,neutral
ha id give kristen plenty of free hugs sigh if only i could,neutral
 and yes i 3 mac if only it werent so expensive,neutral
 i hate cottage cheese  i even got some fancy stuff last weekend with lemon and berriesi could only eat half of it,negative
  link isnt working,neutral
i just need to go to the bank,neutral
 you should come to estonia i know some epic horses here hehe and a good trainer and good beaches were to ride,positive
_jonas101 wow theyre totally amazing and theyre more than awesome,positive
just got laid off  stupid economy,negative
httptwitpiccom67i90  my plans have been ruined,negative
nothing better than to have your grandaughter smile and nothing feels better than that big hug grandkids what a hoot,positive
wake up darling,neutral
 oh i know and i aprreciate it  it can be my back up plan,positive
 yes i would love some more cowbell,positive
 umm dont ya mean ship,neutral
i really wanna go to australia and england,neutral
i just slept that entire flight and woke up to the fact that the girl beside me had been watching chitty chitty bang bang,neutral
just had a gym sesh,neutral
trying to get to sleep but mum is blaring les mis really loudly in the sitting room,negative
dont think im gonna be able to go to see the jb 3d concertwrong time no where very close by,negative
im a sad panda hulu doesnt have the elephant show   no skinnamarinkydinkydink sing alongs for me,negative
 whats up what happened dm me if you need to txt on my phone is defunkd,neutral
is 500 words into a 10 minute speech on 80s teen movies due wednesday blah blah cant wait for the glenn ball,neutral
im gonna cry    i went bad at my history test  i really hate history  ,negative
just got up couldnt sleep anymore i guess and im not really gonna go back to bed im not really sleepy,neutral
going to work,neutral
 i agree with the whole hollie thing,neutral
_ truetrue  but hes not xd,positive
sad i missed  going away party due to too much work but i really am gonna miss that kid,negative
ive come to the conclusion that lemongrass chicken tastes like lysol   so much for lunch,neutral
one of the most random phone calls ever my god kill me now,negative
 more 3criminy cuteness httptinyurlcomcd8yab sinfest,positive
the neighborhood gas station is gone kaput out of business no more convenient trips for ice or whatevs over 3 miles now to travel,negative
tomorrows mothers day  me n my sis gonna make an onigiri for our mom its gonna be so kewl cant wait for tomorrow _,positive
it makes me sad when people phones are sick,negative
taking care of sick children,positive
 welcome to my life,positive
 same here  events  writing songs but i just finished my tmnt vs mmpr song so im excited to record that on wednesday,positive
 yup way to  early and im already at work,neutral
 oh sweet ill definitely check it out when i get the chance,positive
 youuuure an aaass  my aaass loooool,negative
i want to ride my bicycle today but its too cold and cloudy today,negative
 important person  who,neutral
 thats not what  said  i like you too though  is going steady with  though,neutral
 thank you one day at a time right,positive
 i missed mine too not fun,negative
via  found geocache heads up httpcoordinfogc1ret6 probably my only find of the day  httpbitlyjs3s4,neutral
let me dream about my spock now goodnight,neutral
_e thanks for following me nice to meet you,positive
danny cut his beautiful curls,negative
god is so good,positive
forcing myself to watch the movie 1984 for my book report  im lazy to read,negative
 thanks amy its full of hotness,positive
 dont think i can take a needle watched a horribly gory short film on drugs a few months ago im scarred for life,negative
just finished watching the last of star wars,neutral
thanks     httpblipfm5z6n8,neutral
cant be arsed to get out of bed  hello sunshine,negative
every pair of jeans i own nowadays is very tight  i think mah butt gettin big oh,negative
i bought two tops and a scarf yesterdaysister has successfully hijacked them this morning to wear to breakfast after removing tags,neutral
 btw do you realize your profile pic makes you look much older than you say you are,neutral
 aw sorry e  i hope it looks up for you lame ear and theres always next year  lamer ear  fail uhhlove ya e,neutral
 tinycc doesnt seem to load for me  i was thinking on going to the batting cages but apparently you gotta book in adv,neutral
 cheese and onion vinegar taste weird on crisps englands got loads of weird crisps flavorus  lol what do you like  x,negative
 thank yooou i might have to get it seen to hm  ,positive
ohh grandpas stable wont kno all details til tomorrow when i visit keep him me and my fam in ur prayersthank you   goodnite,positive
sore throat this is not good i have four performances this weekend,negative
 it because your handwriting isnt on any of them and everyone is making fun of me because im sitting by myseld in the lrc,negative
so disappointed about the talent lineup for reventãââ½n super estrella 2009hmmhave the feeling i wont get tix this time around,negative
this is for all of you ppl the 1 year anniversary video httpisgdysbs more to come after the break,neutral
 can i come   im merci btw i have always been so inspired by you since i was a teenager,positive
 how crappy for him,negative
its freezing cold i cant function right in this type of weather starving to the max,negative
anyone ever had that heavy feeling of sadness in their hearts thats my case rite now,negative
 haha sorry to hear that,neutral
_k_2k  y360 closing get out,negative
 hes too old school for burnouts just a lap around the track like they used to  nascar,neutral
hannah slept here last night  just gave her her 500 am bottle and she went right back to sleep but im up lol,neutral
 aww if i could i would  gby ,positive
i ate too many kisses,negative
 thanks for the warning good thing my heart is unbreakable,positive
everyone at my place tomorrow  bonfire tofu dogs and austin powers,neutral
  like youre stuff  strange voicemails httpbitlyykxms,positive
 well done happy for ya,positive
 oks  yes infact we had chatted earlier on n00bin as well,neutral
 and you as well bro,neutral
 im sorry  i wish that i was there instead it would give you a good excuse to get away from him hehei love you 3,neutral
true to form bank holiday monday looks like it might be rainy hope it holds off til later familyfriends plan walk and picnic today,positive
 how do you call that number from the uk   i really want to call u but i dont know how to  xxxxxx,neutral
thinks fml should changed to lml love my life,positive
ha  im giving spymaster a chance  just curious will miss u,negative
 ah i thought management fiat was your own fiat  oh well and shripriya or shri if one must shorten it,neutral
loves the 2nd half of even days orch and jazz band with daddy,positive
is tired and turning off the internet you can play on it in the morning,negative
watching walleits so cute but sad,neutral
happy star wars day,positive
just got notified my podcast was accepted into itunes httpbudurlcomsbit of course i then realized it was miss formated  fixed now,negative
heyythnxxorinvitingmetourpartyrobillbedownthereonjune24thillmissuwhenugotoitaly   333333333 txtmehon,positive
is tired of summer already,negative
there mite be a article in the trib bout portia keep an eye out for it,neutral
 ive given up on pizza  kids would never let me have my fav  the hot ones,negative
im hangin out with my cousin holly and tlkin 2 my grandparents  my phone went dead,negative
 thats great,positive
princess sakura is mine  therefor i want to use it on tj grr,neutral
i wish i could teach my dog how to play xbox  alasno thumbs,negative
cleaning out my room and found this httpyfrogcom0t2b6j   she took me to 2w2v and insisted on paying for my ticket,neutral
 thanks im totally bushed today though time for some coding,positive
still making icons,neutral
gonna go 2 bed now night tweeters   dont think about me when you sleep  hahah nite all,neutral
waiting for my turn on wii fit gym closed,neutral
omg is this the sun glimpsing through the clouds woohoo,positive
 haha yea i just feel like its being taken the wrong direction used to be a cool place now its a mess,negative
 shes must be a truly amazing woman for having a phenomenal son,positive
 very nicei cleared my head,positive
 i think itll be more like a casual attendance instead of a review as there might not be another issue of felix by then  thanks,neutral
 your pic didnt show up for me  boo all the other pics on that site show up but not yours,neutral
baby i need you  right here  right now,neutral
 umm get ready help my mum give gj his presents when he gets up could be a while wait for people to arrive then party,positive
 together,neutral
httptwitpiccom4wuaq  another prof pic,neutral
happy mothers day mom,positive
 httptwitpiccom4vw9a  im not gonna buy onenor two but three i will be the ultimate slaughter machine,neutral
asylm yay registered but lost all my friends,negative
church bellss are ringin  got to go adieugod bless in german,positive
still feel like craaaap and like everyone on earth needs to know this lol have fun birdies,neutral
 watching dor on utv movies again great performance,positive
did u watch the spelling bee contest  winner kavya shivshankar  impressive performance  i had not even heared most of the words b4,positive
 probably not in this weather,negative
some relaxation so much things on my list but really not that much,neutral
got your message you are such a twitter freak,neutral
 no wonder you hate driving and country roads and stuff,negative
heading out to a longband practice last one before our first show on saturday night hope its a good one  httpdiggcomu12miw,positive
says happy mothers day to all the moms out there  httpplurkcompstezd,positive
 sorry to hear your news,negative
 ive been there  the only place i have flown out of since moving up north really pretty area for flying but very expensive,neutral
sad daniel is leaving florida now just gave him a big hug,negative
its mothers dayi already bought and gave my mothers day present to my mother,positive
best friend is leaving to go back to school todayi am so sad,negative
 hey what about us followers in atl,neutral
1111 pm perrrfect universal alignment    33,neutral
has a new nick name  arosh i like i like,positive
i was so bored i decided to iron all my baju sklh thn i realized i hate doing tht so all i did was iron a sleeve hahaha im off to schl,neutral
 no trump casino in vegas,neutral
_jimski in my book yes,neutral
 ilooked in my phone book and ur name was the first to show and i was like i got titi number but it was just ur email,neutral
asks for karma points please  httpplurkcompwxnt9,neutral
 will do,neutral
officially booked for seattle with  and  its going to be the best birthday weekend ever   you made me sad,neutral
_carter the link doesnt work,neutral
_m awww our mothers day has been and gone o  no work today off out witht he camera in a little while hopefully,neutral
 i guess you get loads of emails  people asking you stuff al the time but i seriously wonder if you ever read my comments  x,negative
up late with nothin 2 do,neutral
ahh i love chinese music haha  not gonna see my luff til thursday,positive
people are peoplenooooo id never have guessed thtidiotim grouchy now,negative
 i see you hannah klein lookin good today,positive
aha _marie my brothers wallpaper on his phone is dolly the sheep  aha im loling,positive
 its saying that it is the wrong linkit cannot find the address,neutral
  i know kittie should be a professional,neutral
sending blessings out to ,positive
 ahh ok enjoy ill miss it,neutral
so tonights tv viewing bgt or hignfy and reggie perrin wont be tweeting however as  minic has hidden ipod,neutral
mudweight hauled in for last time by   httpyfrogcom0zr2jqj,negative
has dislocated her knee  badpainful times gas  air and morphine are fun though,neutral
i cant believes its already monday the weekend went by soooo fast keeping my fingers crossed that will too,negative
barack obama is a legend just watched his dinner speach it was pretty funny,positive
i got whooped by jason bradbury ace 0,neutral
 ouch i wont be down in miami tomorrow morning that sucks  its a cruise are you driving back the next saturday,negative
sadd  last night in fl going back to ar tomorrow,negative
according to mary chaayaa i look like a sexy emo in my dp  i not emo,neutral
 sounds awesome,positive
 well you are a tricky one so i would say 65,neutral
 no my school will start on june1  two days to go i still dont want l,negative
 still no internet today,neutral
tbh having no credit in your phone sux i cant even text people to see whats happening like its totally grrrsville,negative
gahhhh homework masterchef in half an hour hahah and the recruits,neutral
this month was a bad month to try and get an advert together for kobold quarterly,negative
 im concerned for that family,positive
idk i cant do ,negative
only gets spam in her college email account now what a way to rub in graduation,negative
 im very much in tune with your words today thanks,positive
 how are you gonna get them i got bitten,negative
 im so sad i missed your calling time i got home from practice too late,negative
 im jealous  im slaving away at the store and youre chilling on the boat,negative
  we get so bored with routine lol,neutral
what does drink responsibly mean to you please share a tip or two if youre drunk right now  ,neutral
i got up early to pay bills i figured its like a bandaid if i get it over quickly it wont be so bad i was wrong,negative
 ooh work im afarid  looking forward to a sunny weekeknd tho,negative
watch lowkey freestyling and selling his mixtape  on httptinyurlcomdev4xh and performing in norwich tonight,neutral
i feel sorry for my bestie  good luck ali,neutral
  i need one of these was just thinking about it earlier today as i downloaded pictures via usb  evernote_eyefi,neutral
putting 3 new consultants to work this week its a good feeling  congrats on your offers,positive
oh gosh how i want the party to be over and done with already,neutral
ive totally not got that job  i can just tell,neutral
just snappys delivered some tea and ice cream i love my sister,positive
 eek cant wait to see it as well as everyone elses gahh i dont know what i want  lol,neutral
friday so freakin happy today was an annoying day  buuut weekend tgif3,positive
 yep  itll be awesome to the max  haha,positive
_ heading off to poole around 4ish  has some serious gardening to do before we go no tweetdeck til sunday evening,negative
too sick for rigging tomorrow,negative
have to go to the dreaded dmv tomorrow,negative
is on her way to nottingham icof tonight then no more gigs umtil download fail,negative
 how are you,neutral
  that jasper clip is my first favorite twitter message,neutral
 hey r u back in la right nowwhat was ur favorite part bout europe ive never been out of the country xcept canada  xo jenna,negative
_handz_ it was quiet unfortunatly but what the hell its good the chill out too right,neutral
 i wish i could have time for my xbox  project all tied,positive
  your right how was your trip,neutral
_ember yay thanks  coveri sad ang alist please ,neutral
 yay i love it when you host money for breakfast jenna lee  4hrs of you the amazing and so pretty and sexy jenna lee yay,positive
gutted the kitchen is empty literally empty no even kidding im so hungry,negative
  darn i thought you meant white sox,neutral
_jtv what i was only gone for 30 minutes and youre already showing boobage without me,negative
  i just got through doing my work now i can take the whole day off its great being your own boss,positive
  poor you lmao just stick your head out the window,negative
 etherreal was my main preoccupation now its etherreals preoccupation humm me  schizophrenic ,negative
 dohh is it old i had never heard it im so last year,negative
 instrumentalists like to give singers a hard time but the vocalists job is the toughest when heshe is sick,negative
just got the nashville ihop staff to hit the dougie with me and mayne what a  night,positive
i miss matt today,negative
4 shifts down 2 to go then its my birthday but should i be getting excited im turning 29 which means im almost 30,neutral
feeling tempted by high volume of jeeps to start an acura wave me too,neutral
 inorite humid as well,neutral
heading back home with a win,positive
my stomach hurts,negative
 good luck in the pressure test dont worry everything will be great,positive
 i really wish i could,positive
im very conflicted here  i really like mike but i still have feelings for darrin  its really complicated  i dont know what to do,negative
 i cant,neutral
 yes maybe but for today i write,neutral
 noticed that yesterday tooim actually really happy about that  startrek,positive
 back to a frizz head again,neutral
okay so yesterday was good went food shopping cooked some chicken tacos and bakes some cookies  now i am back at work,positive
looking at our photo shoot picscheck out our myspace pics to see themi love them all,positive
i had walkathon this morning  and im among the first who arrived at the finishing line,neutral
little beetle not feeling any love  searches are bring up zilch bar 2 peeps that appear funny ,positive
 thank ye vaneta  much appreciated,positive
 bitter  why hug ,neutral
went 2 see the hannah montana movie wiv jodie on friday and it was well good but i feel nasty for laughing at the lil girl that cryed lol,neutral
httptwitpiccom67s14  saw a family of five get out of this motor home and into laundromat to clean clothes and bedding,neutral
 lol me too going out at 12am isnt as easy as it used to be,negative
 quite a few peacocks and oceanographers choice are my new favorites to play,positive
 yeahhh uve got plenty of great fans and in spain too u should come and play a gig here,positive
 im having lunch already  ur a lil late buddy,neutral
ugh nothing to do in the valley  seriously gotta move out of here,negative
no keyboard cat ishas been dead for years play yourself off keyboard cat,neutral
 will do,neutral
 that was delicious lets have a walk sometimes with you and your hubby and others me misses you,neutral
 sorry jj i missed that post  ill make sure do so next time,neutral
